日期	现钞卖出价	涨跌% (与前日比)	涨跌% (与首日比)
2025-07-07	0.005405	-0.48%	-0.37%
2025-07-06	0.005431	--	0.11%
2025-07-05	0.005431	0.04%	0.11%
2025-07-04	0.005429	0.11%	0.07%
2025-07-03	0.005423	-0.50%	-0.04%
2025-07-02	0.00545	0.11%	0.46%
2025-07-01	0.005444	-0.33%	0.35%
2025-06-30	0.005462	0.63%	0.68%
2025-06-29	0.005428	--	0.06%
2025-06-28	0.005428	-0.22%	0.06%
2025-06-27	0.00544	-0.29%	0.28%
2025-06-26	0.005456	0.29%	0.57%
2025-06-25	0.00544	-0.11%	0.28%
2025-06-24	0.005446	1.64%	0.39%
2025-06-23	0.005358	-0.85%	-1.24%
2025-06-22	0.005404	--	-0.39%
2025-06-21	0.005404	0.09%	-0.39%
2025-06-20	0.005399	0.41%	-0.48%
2025-06-19	0.005377	-0.54%	-0.88%
2025-06-18	0.005406	-0.07%	-0.35%
2025-06-17	0.00541	-0.84%	-0.28%
2025-06-16	0.005456	0.53%	0.57%
2025-06-15	0.005427	--	0.04%
2025-06-14	0.005427	-0.06%	0.04%
2025-06-13	0.00543	-0.49%	0.09%
2025-06-12	0.005457	0.66%	0.59%
2025-06-11	0.005421	-0.04%	-0.07%
2025-06-10	0.005423	-0.82%	-0.04%
2025-06-09	0.005468	0.15%	0.79%
2025-06-08	0.00546	--	0.65%
2025-06-07	0.00546	0.15%	0.65%
2025-06-06	0.005452	-0.16%	0.50%
2025-06-05	0.005461	0.57%	0.66%
2025-06-04	0.00543	0.91%	0.09%
2025-06-03	0.005381	-0.33%	-0.81%
2025-06-02	0.005399	0.47%	-0.48%
2025-06-01	0.005374	--	-0.94%
2025-05-31	0.005374	-0.09%	-0.94%
2025-05-30	0.005379	-0.48%	-0.85%
2025-05-29	0.005405	0.11%	-0.37%
2025-05-28	0.005399	0.09%	-0.48%
2025-05-27	0.005394	-0.30%	-0.57%
2025-05-26	0.00541	-0.37%	-0.28%
2025-05-25	0.00543	--	0.09%
2025-05-24	0.00543	0.02%	0.09%
2025-05-23	0.005429	0.87%	0.07%
2025-05-22	0.005382	-0.68%	-0.79%
2025-05-21	0.005419	1.44%	-0.11%
2025-05-20	0.005342	-0.34%	-1.53%
2025-05-19	0.00536	0.68%	-1.20%
2025-05-18	0.005324	--	-1.86%
2025-05-17	0.005324	0.26%	-1.86%
2025-05-16	0.00531	-0.19%	-2.12%
2025-05-15	0.00532	0.06%	-1.94%
2025-05-14	0.005317	1.47%	-1.99%
2025-05-13	0.00524	-0.04%	-3.41%
2025-05-12	0.005242	-2.13%	-3.37%
2025-05-11	0.005356	--	-1.27%
2025-05-10	0.005356	0.28%	-1.27%
2025-05-09	0.005341	0.38%	-1.55%
2025-05-08	0.005321	-0.65%	-1.92%
2025-05-07	0.005356	-0.96%	-1.27%
2025-05-06	0.005408	-0.70%	-0.31%
2025-05-05	0.005446	1.51%	0.39%
2025-05-04	0.005365	--	-1.11%
2025-05-03	0.005365	0.04%	-1.11%
2025-05-02	0.005363	2.76%	-1.14%
2025-05-01	0.005219	-0.87%	-3.80%
2025-04-30	0.005265	0.52%	-2.95%
2025-04-29	0.005238	0.04%	-3.45%
2025-04-28	0.005236	0.27%	-3.48%
2025-04-27	0.005222	-0.10%	-3.74%
2025-04-26	0.005227	0.15%	-3.65%
2025-04-25	0.005219	-0.57%	-3.80%
2025-04-24	0.005249	-0.42%	-3.24%
2025-04-23	0.005271	-0.45%	-2.84%
2025-04-22	0.005295	-0.02%	-2.40%
2025-04-21	0.005296	0.02%	-2.38%
2025-04-20	0.005295	--	-2.40%
2025-04-19	0.005295	0.04%	-2.40%
2025-04-18	0.005293	-0.49%	-2.43%
2025-04-17	0.005319	-0.09%	-1.95%
2025-04-16	0.005324	0.70%	-1.86%
2025-04-15	0.005287	-0.23%	-2.54%
2025-04-14	0.005299	-0.15%	-2.32%
2025-04-13	0.005307	--	-2.18%
2025-04-12	0.005307	0.15%	-2.18%
2025-04-11	0.005299	1.83%	-2.32%
2025-04-10	0.005204	1.03%	-4.07%
2025-04-09	0.005151	0.53%	-5.05%
2025-04-08	0.005124	-0.25%	-5.55%
2025-04-07	0.005137	-0.31%	-5.31%
2025-04-06	0.005153	--	-5.01%
2025-04-05	0.005153	-0.04%	-5.01%
2025-04-04	0.005155	-0.52%	-4.98%
2025-04-03	0.005182	1.01%	-4.48%
2025-04-02	0.00513	0.90%	-5.44%
2025-04-01	0.005084	0.08%	-6.29%
2025-03-31	0.00508	-0.41%	-6.36%
2025-03-30	0.005101	-0.02%	-5.97%
2025-03-29	0.005102	-0.16%	-5.95%
2025-03-28	0.00511	-0.20%	-5.81%
2025-03-27	0.00512	0.18%	-5.62%
2025-03-26	0.005111	--	-5.79%
2025-03-25	0.005111	0.08%	-5.79%
2025-03-24	0.005107	-0.20%	-5.86%
2025-03-23	0.005117	--	-5.68%
2025-03-22	0.005117	0.27%	-5.68%
2025-03-21	0.005103	0.12%	-5.94%
2025-03-20	0.005097	-0.12%	-6.05%
2025-03-19	0.005103	-0.72%	-5.94%
2025-03-18	0.00514	-0.43%	-5.25%
2025-03-17	0.005162	0.23%	-4.85%
2025-03-16	0.00515	--	-5.07%
2025-03-15	0.00515	0.08%	-5.07%
2025-03-14	0.005146	0.23%	-5.14%
2025-03-13	0.005134	-0.21%	-5.36%
2025-03-12	0.005145	0.23%	-5.16%
2025-03-11	0.005133	-0.18%	-5.38%
2025-03-10	0.005142	-0.35%	-5.22%
2025-03-09	0.00516	--	-4.88%
2025-03-08	0.00516	-0.06%	-4.88%
2025-03-07	0.005163	-0.10%	-4.83%
2025-03-06	0.005168	0.12%	-4.74%
2025-03-05	0.005162	0.43%	-4.85%
2025-03-04	0.00514	-0.46%	-5.25%
2025-03-03	0.005164	0.37%	-4.81%
2025-03-02	0.005145	--	-5.16%
2025-03-01	0.005145	-0.02%	-5.16%
2025-02-28	0.005146	-0.87%	-5.14%
2025-02-27	0.005191	-0.56%	-4.31%
2025-02-26	0.00522	-0.02%	-3.78%
2025-02-25	0.005221	-0.23%	-3.76%
2025-02-24	0.005233	0.17%	-3.54%
2025-02-23	0.005224	--	-3.71%
2025-02-22	0.005224	0.11%	-3.71%
2025-02-21	0.005218	0.15%	-3.82%
2025-02-20	0.00521	-0.10%	-3.96%
2025-02-19	0.005215	0.04%	-3.87%
2025-02-18	0.005213	0.37%	-3.91%
2025-02-17	0.005194	-0.13%	-4.26%
2025-02-16	0.005201	--	-4.13%
2025-02-15	0.005201	-0.06%	-4.13%
2025-02-14	0.005204	0.06%	-4.07%
2025-02-13	0.005201	0.25%	-4.13%
2025-02-12	0.005188	-0.04%	-4.37%
2025-02-11	0.00519	-0.17%	-4.33%
2025-02-10	0.005199	0.50%	-4.17%
2025-02-09	0.005173	--	-4.65%
2025-02-08	0.005173	-0.35%	-4.65%
2025-02-07	0.005191	-0.21%	-4.31%
2025-02-06	0.005202	--	-4.11%
2025-02-05	0.005202	0.33%	-4.11%
2025-02-04	0.005185	0.31%	-4.42%
2025-02-03	0.005169	0.06%	-4.72%
2025-02-02	0.005166	--	-4.77%
2025-02-01	0.005166	-0.31%	-4.77%
2025-01-31	0.005182	-0.40%	-4.48%
2025-01-30	0.005203	0.02%	-4.09%
2025-01-29	0.005202	0.29%	-4.11%
2025-01-28	0.005187	-0.46%	-4.39%
2025-01-27	0.005211	-0.36%	-3.94%
2025-01-26	0.00523	-0.02%	-3.59%
2025-01-25	0.005231	-0.04%	-3.58%
2025-01-24	0.005233	--	-3.54%
2025-01-23	0.005233	0.02%	-3.54%
2025-01-22	0.005232	0.23%	-3.56%
2025-01-21	0.00522	0.29%	-3.78%
2025-01-20	0.005205	0.23%	-4.06%
2025-01-19	0.005193	--	-4.28%
2025-01-18	0.005193	0.06%	-4.28%
2025-01-17	0.00519	-0.12%	-4.33%
2025-01-16	0.005196	-0.06%	-4.22%
2025-01-15	0.005199	0.15%	-4.17%
2025-01-14	0.005191	0.66%	-4.31%
2025-01-13	0.005157	0.35%	-4.94%
2025-01-12	0.005139	0.06%	-5.27%
2025-01-11	0.005136	-0.12%	-5.33%
2025-01-10	0.005142	-0.81%	-5.22%
2025-01-09	0.005184	0.04%	-4.44%
2025-01-08	0.005182	-0.38%	-4.48%
2025-01-07	0.005202	0.46%	-4.11%
2025-01-06	0.005178	0.58%	-4.55%
2025-01-05	0.005148	--	-5.11%
2025-01-04	0.005148	0.16%	-5.11%
2025-01-03	0.00514	0.31%	-5.25%
2025-01-02	0.005124	0.47%	-5.55%
2025-01-01	0.0051	0.04%	-5.99%
2024-12-31	0.005098	-0.20%	-6.03%
2024-12-30	0.005108	-0.12%	-5.84%
2024-12-29	0.005114	--	-5.73%
2024-12-28	0.005114	-0.08%	-5.73%
2024-12-27	0.005118	-0.16%	-5.66%
2024-12-26	0.005126	-0.81%	-5.51%
2024-12-25	0.005168	0.10%	-4.74%
2024-12-24	0.005163	-0.44%	-4.83%
2024-12-23	0.005186	-0.59%	-4.41%
2024-12-22	0.005217	--	-3.83%
2024-12-21	0.005217	0.21%	-3.83%
2024-12-20	0.005206	-0.10%	-4.04%
2024-12-19	0.005211	-0.34%	-3.94%
2024-12-18	0.005229	-0.02%	-3.61%
2024-12-17	0.00523	0.06%	-3.59%
2024-12-16	0.005227	-0.13%	-3.65%
2024-12-15	0.005234	--	-3.52%
2024-12-14	0.005234	-0.04%	-3.52%
2024-12-13	0.005236	-0.23%	-3.48%
2024-12-12	0.005248	0.11%	-3.26%
2024-12-11	0.005242	0.29%	-3.37%
2024-12-10	0.005227	-0.38%	-3.65%
2024-12-09	0.005247	-0.51%	-3.28%
2024-12-08	0.005274	--	-2.78%
2024-12-07	0.005274	-0.09%	-2.78%
2024-12-06	0.005279	-0.25%	-2.69%
2024-12-05	0.005292	-0.17%	-2.45%
2024-12-04	0.005301	0.68%	-2.29%
2024-12-03	0.005265	-1.31%	-2.95%
2024-12-02	0.005335	-0.52%	-1.66%
2024-12-01	0.005363	--	-1.14%
2024-11-30	0.005363	0.30%	-1.14%
2024-11-29	0.005347	-0.15%	-1.44%
2024-11-28	0.005355	-0.34%	-1.29%
2024-11-27	0.005373	0.26%	-0.96%
2024-11-26	0.005359	0.45%	-1.22%
2024-11-25	0.005335	0.11%	-1.66%
2024-11-24	0.005329	--	-1.77%
2024-11-23	0.005329	0.13%	-1.77%
2024-11-22	0.005322	-0.37%	-1.90%
2024-11-21	0.005342	-0.06%	-1.53%
2024-11-20	0.005345	-0.37%	-1.47%
2024-11-19	0.005365	0.09%	-1.11%
2024-11-18	0.00536	0.17%	-1.20%
2024-11-17	0.005351	--	-1.36%
2024-11-16	0.005351	0.19%	-1.36%
2024-11-15	0.005341	0.28%	-1.55%
2024-11-14	0.005326	0.15%	-1.82%
2024-11-13	0.005318	0.23%	-1.97%
2024-11-12	0.005306	-0.13%	-2.19%
2024-11-11	0.005313	0.04%	-2.06%
2024-11-10	0.005311	--	-2.10%
2024-11-09	0.005311	-0.13%	-2.10%
2024-11-08	0.005318	-0.26%	-1.97%
2024-11-07	0.005332	0.74%	-1.71%
2024-11-06	0.005293	-0.43%	-2.43%
2024-11-05	0.005316	-0.24%	-2.01%
2024-11-04	0.005329	-0.13%	-1.77%
2024-11-03	0.005336	--	-1.64%
2024-11-02	0.005336	-0.11%	-1.64%
