Date,Exchange_Rate
2024-07-08,1.6012
2024-07-09,1.6025
2024-07-10,1.6061
2024-07-11,1.6063
2024-07-12,1.6106
2024-07-13,1.6118
2024-07-14,1.6118
2024-07-15,1.6121
2024-07-16,1.6125
2024-07-17,1.6153
2024-07-18,1.6136
2024-07-19,1.6088
2024-07-20,1.6099
2024-07-21,1.6102
2024-07-22,1.612
2024-07-23,1.6154
2024-07-24,1.6126
2024-07-25,1.6105
2024-07-26,1.6154
2024-07-27,1.6163
2024-07-28,1.6163
2024-07-29,1.6237
2024-07-30,1.6268
2024-07-31,1.6301
2024-08-01,1.6458
2024-08-02,1.6529
2024-08-03,1.6556
2024-08-04,1.6556
2024-08-05,1.6737
2024-08-06,1.6598
2024-08-07,1.6561
2024-08-08,1.6638
2024-08-09,1.6814
2024-08-10,1.6829
2024-08-11,1.6829
2024-08-12,1.6818
2024-08-13,1.6683
2024-08-14,1.6758
2024-08-15,1.6783
2024-08-16,1.6785
2024-08-17,1.6773
2024-08-18,1.6773
2024-08-19,1.6904
2024-08-20,1.6901
2024-08-21,1.6899
2024-08-22,1.6939
2024-08-23,1.6894
2024-08-24,1.6898
2024-08-25,1.6898
2024-08-26,1.69
2024-08-27,1.7002
2024-08-28,1.702
2024-08-29,1.7086
2024-08-30,1.7026
2024-08-31,1.7042
2024-09-01,1.7042
2024-09-02,1.6956
2024-09-03,1.6873
2024-09-04,1.6954
2024-09-05,1.6965
2024-09-06,1.6987
2024-09-07,1.6576
2024-09-08,1.6576
2024-09-09,1.6437
2024-09-10,1.6562
2024-09-11,1.6608
2024-09-12,1.6596
2024-09-13,1.6662
2024-09-14,1.6678
2024-09-15,1.6678
2024-09-16,1.6675
2024-09-17,1.6839
2024-09-18,1.6853
2024-09-19,1.6957
2024-09-20,1.6939
2024-09-21,1.6943
2024-09-22,1.6943
2024-09-23,1.6948
2024-09-24,1.71
2024-09-25,1.7196
2024-09-26,1.7088
2024-09-27,1.7174
2024-09-28,1.7186
2024-09-29,1.7149
2024-09-30,1.7194
2024-10-01,1.7043
2024-10-02,1.7006
2024-10-03,1.6869
2024-10-04,1.697
2024-10-05,1.697
2024-10-06,1.697
2024-10-07,1.697
2024-10-08,1.6641
2024-10-09,1.6706
2024-10-10,1.6669
2024-10-11,1.6651
2024-10-12,1.6659
2024-10-13,1.6659
2024-10-14,1.6667
2024-10-15,1.6686
2024-10-16,1.6742
2024-10-17,1.6694
2024-10-18,1.6668
2024-10-19,1.6682
2024-10-20,1.6682
2024-10-21,1.6711
2024-10-22,1.6625
2024-10-23,1.6554
2024-10-24,1.6542
2024-10-25,1.6575
2024-10-26,1.659
2024-10-27,1.659
2024-10-28,1.6502
2024-10-29,1.6466
2024-10-30,1.6412
2024-10-31,1.6421
2024-11-01,1.644
2024-11-02,1.6461
2024-11-03,1.6461
2024-11-04,1.6404
2024-11-05,1.6518
2024-11-06,1.645
2024-11-07,1.6375
