Date,Exchange_Rate
2024-07-08,5.4081
2024-07-09,5.4045
2024-07-10,5.4167
2024-07-11,5.4303
2024-07-12,5.4285
2024-07-13,5.4321
2024-07-14,5.4321
2024-07-15,5.4307
2024-07-16,5.4249
2024-07-17,5.4349
2024-07-18,5.4294
2024-07-19,5.427
2024-07-20,5.4292
2024-07-21,5.4303
2024-07-22,5.4251
2024-07-23,5.4287
2024-07-24,5.4352
2024-07-25,5.4123
2024-07-26,5.4248
2024-07-27,5.4267
2024-07-28,5.4267
2024-07-29,5.4264
2024-07-30,5.4169
2024-07-31,5.4212
2024-08-01,5.4455
2024-08-02,5.4242
2024-08-03,5.4304
2024-08-04,5.4304
2024-08-05,5.4187
2024-08-06,5.4206
2024-08-07,5.4282
2024-08-08,5.4351
2024-08-09,5.4396
2024-08-10,5.4407
2024-08-11,5.4407
2024-08-12,5.4358
2024-08-13,5.4423
2024-08-14,5.4509
2024-08-15,5.4555
2024-08-16,5.4492
2024-08-17,5.4683
2024-08-18,5.4683
2024-08-19,5.4781
2024-08-20,5.4815
2024-08-21,5.4803
2024-08-22,5.477
2024-08-23,5.4894
2024-08-24,5.4953
2024-08-25,5.4953
2024-08-26,5.495
2024-08-27,5.4893
2024-08-28,5.4909
2024-08-29,5.474
2024-08-30,5.4581
2024-08-31,5.4542
2024-09-01,5.4542
2024-09-02,5.4681
2024-09-03,5.4647
2024-09-04,5.4749
2024-09-05,5.475
2024-09-06,5.4699
2024-09-07,5.4769
2024-09-08,5.4769
2024-09-09,5.4719
2024-09-10,5.4785
2024-09-11,5.4838
2024-09-12,5.4817
2024-09-13,5.4874
2024-09-14,5.4924
2024-09-15,5.4924
2024-09-16,5.4999
2024-09-17,5.4993
2024-09-18,5.4921
2024-09-19,5.4891
2024-09-20,5.4819
2024-09-21,5.4878
2024-09-22,5.4878
2024-09-23,5.487
2024-09-24,5.4916
2024-09-25,5.4792
2024-09-26,5.4882
2024-09-27,5.4982
2024-09-28,5.5004
2024-09-29,5.4883
2024-09-30,5.4922
2024-10-01,5.4773
2024-10-02,5.4653
2024-10-03,5.4545
2024-10-04,5.4532
2024-10-05,5.4561
2024-10-06,5.4561
2024-10-07,5.4561
2024-10-08,5.4376
2024-10-09,5.4439
2024-10-10,5.4385
2024-10-11,5.4385
2024-10-12,5.4409
2024-10-13,5.4409
2024-10-14,5.439
2024-10-15,5.4594
2024-10-16,5.4472
2024-10-17,5.4417
2024-10-18,5.4389
2024-10-19,5.4773
2024-10-20,5.4773
2024-10-21,5.4327
2024-10-22,5.4342
2024-10-23,5.4122
2024-10-24,5.4155
2024-10-25,5.4128
2024-10-26,5.4131
2024-10-27,5.4131
2024-10-28,5.4075
2024-10-29,5.401
2024-10-30,5.4023
2024-10-31,5.4032
2024-11-01,5.4023
2024-11-02,5.4021
2024-11-03,5.4021
2024-11-04,5.4134
2024-11-05,5.4207
2024-11-06,5.3981
2024-11-07,5.4315
2024-11-08,5.4401
2024-11-09,5.4406
2024-11-10,5.4406
2024-11-11,5.4281
2024-11-12,5.4269
2024-11-13,5.4143
2024-11-14,5.408
2024-11-15,5.406
2024-11-16,5.4084
2024-11-17,5.4084
2024-11-18,5.4153
2024-11-19,5.4303
2024-11-20,5.4099
2024-11-21,5.4059
2024-11-22,5.393
2024-11-23,5.4016
2024-11-24,5.4016
2024-11-25,5.3987
2024-11-26,5.4018
2024-11-27,5.428
2024-11-28,5.4162
2024-11-29,5.425
2024-11-30,5.4385
2024-12-01,5.4385
2024-12-02,5.4165
2024-12-03,5.4383
2024-12-04,5.4281
2024-12-05,5.4424
2024-12-06,5.445
2024-12-07,5.4443
2024-12-08,5.4443
2024-12-09,5.4485
2024-12-10,5.4212
2024-12-11,5.4244
2024-12-12,5.4234
2024-12-13,5.4148
2024-12-14,5.4156
2024-12-15,5.4156
2024-12-16,5.4176
2024-12-17,5.4177
2024-12-18,5.4079
2024-12-19,5.387
2024-12-20,5.4008
2024-12-21,5.4143
2024-12-22,5.4143
2024-12-23,5.398
2024-12-24,5.3831
2024-12-25,5.3848
2024-12-26,5.3885
2024-12-27,5.3958
2024-12-28,5.3946
2024-12-29,5.3946
2024-12-30,5.3892
2024-12-31,5.3717
2025-01-01,5.3715
2025-01-02,5.3592
2025-01-03,5.3616
2025-01-04,5.3671
2025-01-05,5.3671
2025-01-06,5.3957
2025-01-07,5.3921
2025-01-08,5.3743
2025-01-09,5.3785
2025-01-10,5.3671
2025-01-11,5.3678
2025-01-12,5.374
2025-01-13,5.3592
2025-01-14,5.3828
2025-01-15,5.3866
2025-01-16,5.3892
2025-01-17,5.3833
2025-01-18,5.3791
2025-01-19,5.3791
2025-01-20,5.3831
2025-01-21,5.3899
2025-01-22,5.3879
2025-01-23,5.3918
2025-01-24,5.4087
2025-01-25,5.4055
2025-01-26,5.4042
2025-01-27,5.4145
2025-01-28,5.4026
2025-01-29,5.4109
2025-01-30,5.4114
2025-01-31,5.4043
2025-02-01,5.3889
2025-02-02,5.3889
2025-02-03,5.3985
2025-02-04,5.4095
2025-02-05,5.4191
2025-02-06,5.4138
2025-02-07,5.4077
2025-02-08,5.4081
2025-02-09,5.4081
2025-02-10,5.4142
2025-02-11,5.4165
2025-02-12,5.4172
2025-02-13,5.4348
2025-02-14,5.443
2025-02-15,5.4447
2025-02-16,5.4447
2025-02-17,5.4377
2025-02-18,5.4462
2025-02-19,5.4434
2025-02-20,5.4495
2025-02-21,5.4481
2025-02-22,5.4514
2025-02-23,5.4514
2025-02-24,5.4376
2025-02-25,5.4415
2025-02-26,5.448
2025-02-27,5.4294
2025-02-28,5.4221
2025-03-01,5.4115
2025-03-02,5.4115
2025-03-03,5.4403
2025-03-04,5.4323
2025-03-05,5.4539
2025-03-06,5.4591
2025-03-07,5.4635
2025-03-08,5.4695
2025-03-09,5.4695
2025-03-10,5.4707
2025-03-11,5.4562
2025-03-12,5.4568
2025-03-13,5.4447
2025-03-14,5.4452
2025-03-15,5.4517
2025-03-16,5.4517
2025-03-17,5.4556
2025-03-18,5.4482
2025-03-19,5.4419
2025-03-20,5.4481
2025-03-21,5.4489
