Date,Exchange_Rate
2024-07-08,0.045393
2024-07-09,0.045252
2024-07-10,0.045182
2024-07-11,0.045986
2024-07-12,0.04609
2024-07-13,0.046104
2024-07-14,0.046104
2024-07-15,0.046194
2024-07-16,0.046029
2024-07-17,0.046576
2024-07-18,0.046457
2024-07-19,0.046383
2024-07-20,0.046347
2024-07-21,0.046347
2024-07-22,0.046496
2024-07-23,0.046824
2024-07-24,0.047542
2024-07-25,0.047182
2024-07-26,0.047334
2024-07-27,0.047343
2024-07-28,0.047343
2024-07-29,0.04737
2024-07-30,0.047346
2024-07-31,0.048216
2024-08-01,0.048488
2024-08-02,0.048932
2024-08-03,0.04916
2024-08-04,0.04916
2024-08-05,0.049726
2024-08-06,0.049557
2024-08-07,0.048888
2024-08-08,0.049022
2024-08-09,0.049131
2024-08-10,0.049081
2024-08-11,0.049081
2024-08-12,0.048846
2024-08-13,0.048885
2024-08-14,0.048813
2024-08-15,0.048391
2024-08-16,0.048548
2024-08-17,0.048697
2024-08-18,0.048697
2024-08-19,0.048972
2024-08-20,0.049174
2024-08-21,0.049341
2024-08-22,0.049155
2024-08-23,0.049393
2024-08-24,0.049542
2024-08-25,0.049542
2024-08-26,0.049471
2024-08-27,0.049587
2024-08-28,0.049529
2024-08-29,0.04917
2024-08-30,0.048788
2024-08-31,0.048706
2024-09-01,0.048706
2024-09-02,0.04864
2024-09-03,0.048794
2024-09-04,0.049502
2024-09-05,0.04966
2024-09-06,0.050035
2024-09-07,0.050077
2024-09-08,0.050077
2024-09-09,0.049972
2024-09-10,0.050237
2024-09-11,0.050476
2024-09-12,0.050267
2024-09-13,0.050671
2024-09-14,0.050569
2024-09-15,0.050569
2024-09-16,0.050584
2024-09-17,0.050259
2024-09-18,0.050095
2024-09-19,0.049672
2024-09-20,0.0492
2024-09-21,0.04917
2024-09-22,0.04917
2024-09-23,0.049312
2024-09-24,0.0491
2024-09-25,0.04891
2024-09-26,0.048657
2024-09-27,0.049378
2024-09-28,0.049519
2024-09-29,0.049519
2024-09-30,0.049181
2024-10-01,0.049092
2024-10-02,0.048315
2024-10-03,0.048108
2024-10-04,0.047675
2024-10-05,0.047854
2024-10-06,0.047854
2024-10-07,0.047953
2024-10-08,0.04782
2024-10-09,0.047657
2024-10-10,0.047856
2024-10-11,0.047586
2024-10-12,0.047569
