Date,Exchange_Rate
2024-07-08,5.4092
2024-07-09,5.4065
2024-07-10,5.4168
2024-07-11,5.4329
2024-07-12,5.4315
2024-07-13,5.4278
2024-07-14,5.4278
2024-07-15,5.4326
2024-07-16,5.4262
2024-07-17,5.437
2024-07-18,5.4326
2024-07-19,5.4297
2024-07-20,5.4252
2024-07-21,5.4252
2024-07-22,5.4256
2024-07-23,5.4294
2024-07-24,5.4368
2024-07-25,5.4092
2024-07-26,5.4242
2024-07-27,5.4218
2024-07-28,5.4218
2024-07-29,5.428
2024-07-30,5.416
2024-07-31,5.4212
2024-08-01,5.4453
2024-08-02,5.4229
2024-08-03,5.431
2024-08-04,5.431
2024-08-05,5.4109
2024-08-06,5.4214
2024-08-07,5.4282
2024-08-08,5.438
2024-08-09,5.4392
2024-08-10,5.4384
2024-08-11,5.4384
2024-08-12,5.4419
2024-08-13,5.442
2024-08-14,5.4507
2024-08-15,5.4569
2024-08-16,5.4582
2024-08-17,5.4634
2024-08-18,5.4634
2024-08-19,5.4782
2024-08-20,5.4838
2024-08-21,5.4877
2024-08-22,5.4751
2024-08-23,5.4916
2024-08-24,5.4981
2024-08-25,5.4981
2024-08-26,5.4849
2024-08-27,5.4899
2024-08-28,5.4904
2024-08-29,5.4755
2024-08-30,5.4585
2024-08-31,5.452
2024-09-01,5.452
2024-09-02,5.4684
2024-09-03,5.4655
2024-09-04,5.4757
2024-09-05,5.4748
2024-09-06,5.469
2024-09-07,5.472
2024-09-08,5.472
2024-09-09,5.4719
2024-09-10,5.4791
2024-09-11,5.4845
2024-09-12,5.4811
2024-09-13,5.4886
2024-09-14,5.4871
2024-09-15,5.4871
2024-09-16,5.4949
2024-09-17,5.4957
2024-09-18,5.4927
2024-09-19,5.4906
2024-09-20,5.4822
2024-09-21,5.483
2024-09-22,5.483
2024-09-23,5.4885
2024-09-24,5.492
2024-09-25,5.4803
2024-09-26,5.4869
2024-09-27,5.4983
2024-09-28,5.498
2024-09-29,5.498
2024-09-30,5.4922
2024-10-01,5.4781
2024-10-02,5.4663
2024-10-03,5.4428
2024-10-04,5.4314
2024-10-05,5.4556
2024-10-06,5.4556
2024-10-07,5.4473
2024-10-08,5.4359
2024-10-09,5.4439
2024-10-10,5.4387
2024-10-11,5.4399
2024-10-12,5.4387
2024-10-13,5.4387
2024-10-14,5.4398
2024-10-15,5.4591
2024-10-16,5.4474
2024-10-17,5.4415
2024-10-18,5.4389
2024-10-19,5.4426
2024-10-20,5.4426
2024-10-21,5.433
2024-10-22,5.4335
2024-10-23,5.4115
2024-10-24,5.4175
2024-10-25,5.4141
2024-10-26,5.4084
2024-10-27,5.4084
2024-10-28,5.4089
2024-10-29,5.4043
2024-10-30,5.4098
2024-10-31,5.4027
2024-11-01,5.4031
2024-11-02,5.3978
2024-11-03,5.3978
2024-11-04,5.4137
