日期	现钞卖出价	涨跌% (与前日比)	涨跌% (与首日比)
2025-07-07	0.9161	0.12%	-1.77%
2025-07-05	0.915	--	-1.89%
2025-07-04	0.915	-0.05%	-1.89%
2025-07-03	0.9155	0.05%	-1.83%
2025-07-02	0.915	--	-1.89%
2025-07-01	0.915	0.02%	-1.89%
2025-06-30	0.9148	-0.12%	-1.91%
2025-06-28	0.9159	--	-1.79%
2025-06-27	0.9159	0.05%	-1.79%
2025-06-26	0.9154	-0.11%	-1.84%
2025-06-25	0.9164	0.07%	-1.74%
2025-06-24	0.9158	-0.11%	-1.80%
2025-06-23	0.9168	-0.02%	-1.69%
2025-06-21	0.917	0.01%	-1.67%
2025-06-20	0.9169	-0.11%	-1.68%
2025-06-19	0.9179	-0.01%	-1.58%
2025-06-18	0.918	0.05%	-1.57%
2025-06-17	0.9175	0.08%	-1.62%
2025-06-16	0.9168	-0.05%	-1.69%
2025-06-14	0.9173	0.01%	-1.64%
2025-06-13	0.9172	0.12%	-1.65%
2025-06-12	0.9161	-0.27%	-1.77%
2025-06-11	0.9186	0.07%	-1.50%
2025-06-10	0.918	0.10%	-1.57%
2025-06-09	0.9171	-0.19%	-1.66%
2025-06-07	0.9188	0.02%	-1.48%
2025-06-06	0.9186	0.20%	-1.50%
2025-06-05	0.9168	-0.04%	-1.69%
2025-06-04	0.9172	-0.13%	-1.65%
2025-06-03	0.9184	-0.15%	-1.52%
2025-06-02	0.9198	-0.04%	-1.37%
2025-05-31	0.9202	-0.01%	-1.33%
2025-05-30	0.9203	0.17%	-1.32%
2025-05-29	0.9187	-0.16%	-1.49%
2025-05-28	0.9202	--	-1.33%
2025-05-27	0.9202	0.10%	-1.33%
2025-05-26	0.9193	0.02%	-1.43%
2025-05-24	0.9191	--	-1.45%
2025-05-23	0.9191	-0.41%	-1.45%
2025-05-22	0.9229	0.10%	-1.04%
2025-05-21	0.922	-0.25%	-1.14%
2025-05-20	0.9243	-0.06%	-0.89%
2025-05-19	0.9249	-0.08%	-0.83%
2025-05-17	0.9256	0.05%	-0.75%
2025-05-16	0.9251	-0.06%	-0.80%
2025-05-15	0.9257	-0.01%	-0.74%
2025-05-14	0.9258	-0.10%	-0.73%
2025-05-13	0.9267	-0.01%	-0.63%
2025-05-12	0.9268	-0.66%	-0.62%
2025-05-10	0.933	0.02%	0.04%
2025-05-09	0.9328	-0.07%	0.02%
2025-05-08	0.9335	--	0.10%
2025-05-07	0.9335	-0.01%	0.10%
2025-05-06	0.9336	-0.64%	0.11%
2025-05-05	0.9396	-0.14%	0.75%
2025-05-03	0.9409	--	0.89%
2025-05-02	0.9409	0.09%	0.89%
2025-05-01	0.9401	-0.01%	0.80%
2025-04-30	0.9402	0.10%	0.81%
2025-04-29	0.9393	-0.31%	0.72%
2025-04-28	0.9422	0.04%	1.03%
2025-04-26	0.9418	--	0.99%
2025-04-25	0.9418	-0.01%	0.99%
2025-04-24	0.9419	0.04%	1.00%
2025-04-23	0.9415	-0.37%	0.95%
2025-04-22	0.945	0.33%	1.33%
2025-04-21	0.9419	-0.10%	1.00%
2025-04-19	0.9428	--	1.09%
2025-04-18	0.9428	0.02%	1.09%
2025-04-17	0.9426	-0.07%	1.07%
2025-04-16	0.9433	-0.23%	1.15%
2025-04-15	0.9455	0.08%	1.38%
2025-04-14	0.9447	0.23%	1.30%
2025-04-12	0.9425	0.01%	1.06%
2025-04-11	0.9424	-0.30%	1.05%
2025-04-10	0.9452	-0.54%	1.35%
2025-04-09	0.9503	0.36%	1.90%
2025-04-08	0.9469	0.25%	1.53%
2025-04-07	0.9445	0.47%	1.28%
2025-04-05	0.9401	-0.01%	0.80%
2025-04-04	0.9402	0.13%	0.81%
2025-04-03	0.939	0.30%	0.69%
2025-04-02	0.9362	-0.06%	0.39%
2025-04-01	0.9368	0.17%	0.45%
2025-03-31	0.9352	-0.15%	0.28%
2025-03-29	0.9366	0.05%	0.43%
2025-03-28	0.9361	-0.05%	0.38%
2025-03-27	0.9366	-0.05%	0.43%
2025-03-26	0.9371	0.12%	0.48%
2025-03-25	0.936	-0.02%	0.36%
2025-03-24	0.9362	0.02%	0.39%
2025-03-22	0.936	0.07%	0.36%
2025-03-21	0.9353	0.03%	0.29%
2025-03-20	0.935	0.21%	0.26%
2025-03-19	0.933	0.02%	0.04%
2025-03-18	0.9328	0.02%	0.02%
2025-03-17	0.9326	-0.20%	--
2025-03-15	0.9345	0.10%	0.20%
2025-03-14	0.9336	-0.07%	0.11%
2025-03-13	0.9343	0.04%	0.18%
2025-03-12	0.9339	0.13%	0.14%
2025-03-11	0.9327	-0.46%	0.01%
2025-03-10	0.937	0.14%	0.47%
2025-03-08	0.9357	0.26%	0.33%
2025-03-07	0.9333	-0.09%	0.08%
2025-03-06	0.9341	0.07%	0.16%
2025-03-05	0.9334	-0.41%	0.09%
2025-03-04	0.9372	-0.23%	0.49%
2025-03-03	0.9394	-0.02%	0.73%
2025-03-01	0.9396	0.06%	0.75%
2025-02-28	0.939	-0.05%	0.69%
2025-02-27	0.9395	0.41%	0.74%
2025-02-26	0.9357	0.09%	0.33%
2025-02-25	0.9349	0.02%	0.25%
2025-02-24	0.9347	-0.25%	0.23%
2025-02-22	0.937	0.14%	0.47%
2025-02-21	0.9357	0.17%	0.33%
2025-02-20	0.9341	-0.46%	0.16%
2025-02-19	0.9384	-0.02%	0.62%
