Date,Exchange_Rate
2024-07-08,0.9326
2024-07-09,0.9329
2024-07-10,0.9336
2024-07-11,0.9319
2024-07-12,0.9307
2024-07-13,0.9312
2024-07-14,0.9312
2024-07-15,0.932
2024-07-16,0.933
2024-07-17,0.932
2024-07-18,0.9318
2024-07-19,0.933
2024-07-20,0.9333
2024-07-21,0.9333
2024-07-22,0.9338
2024-07-23,0.9337
2024-07-24,0.9321
2024-07-25,0.929
2024-07-26,0.9312
2024-07-27,0.9312
2024-07-28,0.9312
2024-07-29,0.9316
2024-07-30,0.93
2024-07-31,0.9264
2024-08-01,0.9292
2024-08-02,0.9189
2024-08-03,0.9216
2024-08-04,0.9216
2024-08-05,0.9184
2024-08-06,0.9203
2024-08-07,0.9223
2024-08-08,0.9228
2024-08-09,0.9211
2024-08-10,0.9215
2024-08-11,0.9215
2024-08-12,0.923
2024-08-13,0.9207
2024-08-14,0.9183
2024-08-15,0.9224
2024-08-16,0.9207
2024-08-17,0.921
2024-08-18,0.921
2024-08-19,0.9186
2024-08-20,0.9177
2024-08-21,0.917
2024-08-22,0.9188
2024-08-23,0.9159
2024-08-24,0.9157
2024-08-25,0.9157
2024-08-26,0.9153
2024-08-27,0.9149
2024-08-28,0.9154
2024-08-29,0.9125
2024-08-30,0.9115
2024-08-31,0.9117
2024-09-01,0.9117
2024-09-02,0.9149
2024-09-03,0.9156
2024-09-04,0.9143
2024-09-05,0.9117
2024-09-06,0.9115
2024-09-07,0.913
2024-09-08,0.913
2024-09-09,0.9142
2024-09-10,0.9151
2024-09-11,0.9147
2024-09-12,0.9144
2024-09-13,0.9117
2024-09-14,0.9122
2024-09-15,0.9122
2024-09-16,0.9128
2024-09-17,0.9133
2024-09-18,0.9106
2024-09-19,0.9086
2024-09-20,0.907
2024-09-21,0.907
2024-09-22,0.907
2024-09-23,0.9077
2024-09-24,0.905
2024-09-25,0.905
2024-09-26,0.9032
2024-09-27,0.9041
2024-09-28,0.9042
2024-09-29,0.9029
2024-09-30,0.9054
2024-10-01,0.9058
2024-10-02,0.9065
2024-10-03,0.9083
2024-10-04,0.9106
2024-10-05,0.9117
2024-10-06,0.9118
2024-10-07,0.9121
2024-10-08,0.9101
2024-10-09,0.9127
2024-10-10,0.9134
2024-10-11,0.9111
2024-10-12,0.9115
2024-10-13,0.9115
2024-10-14,0.9147
2024-10-15,0.9184
