Date,Exchange_Rate
2024-07-08,0.005468
2024-07-09,0.00547
2024-07-10,0.005473
2024-07-11,0.005506
2024-07-12,0.005487
2024-07-13,0.005491
2024-07-14,0.005491
2024-07-15,0.005463
2024-07-16,0.005463
2024-07-17,0.005473
2024-07-18,0.005461
2024-07-19,0.005447
2024-07-20,0.005444
2024-07-21,0.005444
2024-07-22,0.005452
2024-07-23,0.005463
2024-07-24,0.005478
2024-07-25,0.005446
2024-07-26,0.005457
2024-07-27,0.005452
2024-07-28,0.005452
2024-07-29,0.005466
2024-07-30,0.005448
2024-07-31,0.005487
2024-08-01,0.005508
2024-08-02,0.005484
2024-08-03,0.005501
2024-08-04,0.005501
2024-08-05,0.005427
2024-08-06,0.005406
2024-08-07,0.005431
2024-08-08,0.005424
2024-08-09,0.00547
2024-08-10,0.005465
2024-08-11,0.005465
2024-08-12,0.00545
2024-08-13,0.005444
2024-08-14,0.005479
2024-08-15,0.005478
2024-08-16,0.005502
2024-08-17,0.005523
2024-08-18,0.005523
2024-08-19,0.00557
2024-08-20,0.005571
2024-08-21,0.005568
2024-08-22,0.005537
2024-08-23,0.005586
2024-08-24,0.005601
2024-08-25,0.005601
2024-08-26,0.005577
2024-08-27,0.005566
2024-08-28,0.005555
2024-08-29,0.005541
2024-08-30,0.005525
2024-08-31,0.00552
2024-09-01,0.00552
2024-09-02,0.005533
2024-09-03,0.005517
2024-09-04,0.00554
2024-09-05,0.005527
2024-09-06,0.005525
2024-09-07,0.005525
2024-09-08,0.005525
2024-09-09,0.005514
2024-09-10,0.005515
2024-09-11,0.005524
2024-09-12,0.005524
2024-09-13,0.005553
2024-09-14,0.005557
2024-09-15,0.005557
2024-09-16,0.005589
2024-09-17,0.005609
2024-09-18,0.005563
2024-09-19,0.005533
2024-09-20,0.005499
2024-09-21,0.005506
2024-09-22,0.005506
2024-09-23,0.005498
2024-09-24,0.0055
2024-09-25,0.005481
2024-09-26,0.005543
2024-09-27,0.005572
2024-09-28,0.005571
2024-09-29,0.005563
2024-09-30,0.005554
2024-10-01,0.005535
2024-10-02,0.005541
2024-10-03,0.005491
2024-10-04,0.005443
2024-10-05,0.005461
2024-10-06,0.005461
2024-10-07,0.005458
2024-10-08,0.005457
2024-10-09,0.005473
2024-10-10,0.005456
2024-10-11,0.005252
2024-10-12,0.00526
2024-10-13,0.00526
2024-10-14,0.005238
2024-10-15,0.005248
2024-10-16,0.005241
2024-10-17,0.005216
2024-10-18,0.005208
2024-10-19,0.00521
2024-10-20,0.00521
2024-10-21,0.005182
2024-10-22,0.005186
2024-10-23,0.00518
2024-10-24,0.005173
2024-10-25,0.005149
2024-10-26,0.005152
2024-10-27,0.005152
2024-10-28,0.005167
2024-10-29,0.005185
2024-10-30,0.005184
2024-10-31,0.005189
2024-11-01,0.005195
2024-11-02,0.005189
2024-11-03,0.005189
2024-11-04,0.005183
2024-11-05,0.005178
2024-11-06,0.005146
2024-11-07,0.005189
2024-11-08,0.005178
2024-11-09,0.005164
2024-11-10,0.005164
2024-11-11,0.005155
2024-11-12,0.005161
2024-11-13,0.005174
2024-11-14,0.00518
2024-11-15,0.005226
2024-11-16,0.005233
2024-11-17,0.005233
2024-11-18,0.005243
2024-11-19,0.005252
2024-11-20,0.005232
2024-11-21,0.00523
2024-11-22,0.005209
2024-11-23,0.005214
2024-11-24,0.005214
2024-11-25,0.005223
2024-11-26,0.005246
2024-11-27,0.005255
2024-11-28,0.005243
2024-11-29,0.005234
2024-11-30,0.005246
2024-12-01,0.005246
2024-12-02,0.005222
2024-12-03,0.00515
2024-12-04,0.00519
2024-12-05,0.005179
2024-12-06,0.005166
2024-12-07,0.005164
2024-12-08,0.005164
2024-12-09,0.005134
2024-12-10,0.005116
2024-12-11,0.005131
2024-12-12,0.005135
2024-12-13,0.005126
2024-12-14,0.005115
2024-12-15,0.005115
2024-12-16,0.005117
2024-12-17,0.005121
2024-12-18,0.005119
2024-12-19,0.005094
2024-12-20,0.005097
2024-12-21,0.005102
2024-12-22,0.005102
2024-12-23,0.00508
2024-12-24,0.005055
2024-12-25,0.00506
2024-12-26,0.005029
2024-12-27,0.005011
2024-12-28,0.005007
2024-12-29,0.005007
2024-12-30,0.004998
2024-12-31,0.004997
2025-01-01,0.004991
2025-01-02,0.00502
2025-01-03,0.005032
2025-01-04,0.005038
2025-01-05,0.005038
2025-01-06,0.005061
2025-01-07,0.005092
2025-01-08,0.005066
2025-01-09,0.005073
2025-01-10,0.005034
2025-01-11,0.005027
2025-01-12,0.005027
2025-01-13,0.005048
2025-01-14,0.005078
2025-01-15,0.005088
2025-01-16,0.005087
2025-01-17,0.00508
2025-01-18,0.005078
2025-01-19,0.005078
2025-01-20,0.00509
2025-01-21,0.005107
2025-01-22,0.005122
2025-01-23,0.005119
2025-01-24,0.005118
2025-01-25,0.005123
2025-01-26,0.005123
2025-01-27,0.005106
2025-01-28,0.00507
2025-01-29,0.005071
2025-01-30,0.005082
2025-01-31,0.005069
2025-02-01,0.005048
2025-02-02,0.005048
2025-02-03,0.00505
2025-02-04,0.005063
2025-02-05,0.005092
2025-02-06,0.005091
2025-02-07,0.005083
2025-02-08,0.005065
2025-02-09,0.005065
2025-02-10,0.005089
2025-02-11,0.00508
2025-02-12,0.005077
2025-02-13,0.005089
2025-02-14,0.005094
2025-02-15,0.005088
2025-02-16,0.005088
2025-02-17,0.005082
2025-02-18,0.005104
2025-02-19,0.005107
2025-02-20,0.005101
2025-02-21,0.005107
2025-02-22,0.005113
2025-02-23,0.005113
2025-02-24,0.005123
2025-02-25,0.005109
2025-02-26,0.005112
2025-02-27,0.005082
2025-02-28,0.005037
2025-03-01,0.005034
2025-03-02,0.005034
2025-03-03,0.005055
2025-03-04,0.005032
2025-03-05,0.005049
2025-03-06,0.005057
2025-03-07,0.005052
2025-03-08,0.00505
2025-03-09,0.00505
2025-03-10,0.005033
2025-03-11,0.005022
2025-03-12,0.00504
2025-03-13,0.005029
2025-03-14,0.005034
2025-03-15,0.005041
2025-03-16,0.005041
2025-03-17,0.005056
2025-03-18,0.005031
2025-03-19,0.004994
2025-03-20,0.004988
2025-03-21,0.004994
2025-03-22,0.005006
2025-03-23,0.005007
2025-03-24,0.004997
2025-03-25,0.005003
2025-03-26,0.005003
2025-03-27,0.005013
2025-03-28,0.004995
2025-03-29,0.00499
2025-03-30,0.00499
2025-03-31,0.004975
2025-04-01,0.00499
2025-04-02,0.005022
2025-04-03,0.005069
2025-04-04,0.005051
2025-04-05,0.005046
2025-04-06,0.005046
2025-04-07,0.00503
2025-04-08,0.005014
2025-04-09,0.005039
2025-04-10,0.005094
2025-04-11,0.005181
2025-04-12,0.005185
2025-04-13,0.005185
2025-04-14,0.005188
2025-04-15,0.00518
2025-04-16,0.005212
2025-04-17,0.005206
2025-04-18,0.005181
2025-04-19,0.005181
2025-04-20,0.005181
2025-04-21,0.005186
2025-04-22,0.005183
2025-04-23,0.005163
2025-04-24,0.005137
2025-04-25,0.005108
2025-04-26,0.005119
2025-04-27,0.005119
2025-04-28,0.005126
2025-04-29,0.005128
2025-04-30,0.005153
2025-05-01,0.005123
2025-05-02,0.005258
2025-05-03,0.005238
2025-05-04,0.005238
2025-05-05,0.005332
2025-05-06,0.005292
2025-05-07,0.005245
2025-05-08,0.005211
2025-05-09,0.005228
2025-05-10,0.005242
2025-05-11,0.005242
2025-05-12,0.005131
2025-05-13,0.005125
2025-05-14,0.005209
2025-05-15,0.005207
2025-05-16,0.005198
2025-05-17,0.00521
2025-05-18,0.00521
2025-05-19,0.005247
2025-05-20,0.005228
2025-05-21,0.00531
2025-05-22,0.005268
2025-05-23,0.005311
2025-05-24,0.005313
2025-05-25,0.005313
2025-05-26,0.005296
2025-05-27,0.005284
2025-05-28,0.005287
2025-05-29,0.005291
2025-05-30,0.005271
2025-05-31,0.005259
2025-06-01,0.005259
2025-06-02,0.005284
2025-06-03,0.005268
2025-06-04,0.005315
2025-06-05,0.005344
2025-06-06,0.005346
2025-06-07,0.005343
2025-06-08,0.005343
2025-06-09,0.005352
2025-06-10,0.005311
2025-06-11,0.005305
2025-06-12,0.005341
2025-06-13,0.005316
2025-06-14,0.005311
2025-06-15,0.005311
2025-06-16,0.005342
2025-06-17,0.005296
2025-06-18,0.005296
2025-06-19,0.005256
2025-06-20,0.005286
2025-06-21,0.005287
2025-06-22,0.005287
2025-06-23,0.005255
2025-06-24,0.00533
2025-06-25,0.005324
2025-06-26,0.005342
2025-06-27,0.005326
2025-06-28,0.005315
2025-06-29,0.005315
2025-06-30,0.005347
2025-07-01,0.005331
2025-07-02,0.005335
2025-07-03,0.005309
2025-07-04,0.005313
2025-07-05,0.005314
2025-07-06,0.005314
2025-07-07,0.005298
