,Date,News 1,News 2,News 3,News 4,News 5,News 6,News 7,News 8,News 9,News 10,FinBERT score
0,2024-07-10,3 top ASX 200 income stocks to buy now,,,,,,,,,,0.0
1,2024-07-11,"Co by się stało , gdyby Rosja zaatakowała kraj NATO ? Tak wyglądałaby reakcja w pierwszych godzinach",,,,,,,,,,0.0
2,2024-07-12,"Rays vs Guardians Predictions , Picks , Odds 7 - 12",,,,,,,,,,0.0
3,2024-07-13,Nieuwe coalitie gemeente Hoeksche Waard,,,,,,,,,,0.0
4,2024-07-14,Jamrichová triumfovala vo dvojhre junioriek vo Wimbledone | Tenis - Šport | Články,,,,,,,,,,0.0
5,2024-07-15,Ostateczny cios w starciu tyranów . To wtedy Hitler przegrał wojnę,,,,,,,,,,0.0
6,2024-07-16,Panama clears $10bn biofuels project | Latest Market News,,,,,,,,,,0.0
7,2024-07-17,Fundacja gen . Różańskiego z pieniędzmi od MON,,,,,,,,,,0.0
8,2024-07-18,Renewed massive police violence and media smears against Gaza protesters in Germany,,,,,,,,,,-0.9218772053718567
9,2024-07-19,Картина дня : дайджест главных новостей от 19 июля 2024 года,,,,,,,,,,0.0
10,2024-07-20,Here how the ASX 200 market sectors stacked up last week,,,,,,,,,,0.0
11,2024-07-21,Jak i gdzie poglądy Kamali Harris różnią się od poglądów Joe Bidena,,,,,,,,,,0.0
12,2024-07-22,Wybory do Senatu . Stanisław Pawlak zapewnił sukces Lewicy,,,,,,,,,,0.0
13,2024-07-23,"Twins vs Phillies Predictions , Picks , Odds 7 - 23",,,,,,,,,,0.0
14,2024-07-24," „ My , Polki , przestajemy czuć się bezpiecznie . Ciężkie ciosy w stronę Tuska po skandalach z migrantami",,,,,,,,,,0.0
15,2024-07-25,"Angels vs A Predictions , Picks , Odds 7 - 25",,,,,,,,,,0.0
16,2024-07-26,Psucie państwa - Nasz Dziennik,,,,,,,,,,0.0
17,2024-07-27,"Padres vs Orioles Predictions , Picks , Odds 7 - 27",,,,,,,,,,0.0
18,2024-07-28,"Wielka kasa , polityka , deweloperzy i … migranci . UJAWNIAMY , kto i jak rozdzieli nieruchomości warte miliardy",,,,,,,,,,0.0
19,2024-07-29,UNDP OP7 SGP Indigenous Peoples Fellowship Initiative Programme 2024 – Opportunities For Africans,,,,,,,,,,0.0
20,2024-07-30,Szatan . Jak przedstawiany jest diabeł w poszczególnych religiach ? ,,,,,,,,,,0.0
21,2024-07-31,"Lions vs Blue Bombers Prediction , Picks , & Odds",,,,,,,,,,0.0
22,2024-08-01,"Tigers vs Royals Predictions , Picks , Odds 8 - 1",,,,,,,,,,0.0
23,2024-08-02,Decyzja motywowana politycznie ? Ordo Iuris o wątpliwościach wokół bezkarności Nergala,,,,,,,,,,0.0
24,2024-08-03,"Argonauts vs Stampeders Prediction , Picks , & Odds",,,,,,,,,,0.0
25,2024-08-04,"Mariners vs Phillies Predictions , Picks , Odds 8 - 4",,,,,,,,,,0.0
26,2024-08-05,"Cardinals vs Mets Predictions , Picks , Odds 8 - 5",,,,,,,,,,0.0
27,2024-08-06,"Guardians vs Diamondbacks Predictions , Picks , Odds 8 - 6",,,,,,,,,,0.0
28,2024-08-07,SunLive - Paris 2024 : Tauranga sailor proud of campaign,,,,,,,,,,0.0
29,2024-08-08,"Yankees vs Angels Predictions , Picks , Odds 8 - 8",,,,,,,,,,0.0
30,2024-08-09,Cohen & Steers Announces Changes to Realty Indexes,,,,,,,,,,0.0
31,2024-08-10,"Red Sox vs Astros Predictions , Picks , Odds 8 - 10",,,,,,,,,,0.0
32,2024-08-11,,,,,,,,,,,0.0
33,2024-08-12,"Guardians vs Cubs Predictions , Picks , Odds 8 - 12",,,,,,,,,,0.0
34,2024-08-13,"Red Sox vs Rangers Predictions , Picks , Odds 8 - 13",,,,,,,,,,0.0
35,2024-08-14,Mission in the Rain : Sam Grisman Project to play Earl Scruggs Fest,,,,,,,,,,0.0
36,2024-08-15,"Liberty vs Sparks Predictions , Picks & Odds – 8 - 15",,,,,,,,,,0.0
37,2024-08-16,David  Dawg  Grisman Preps  Bare Bones Volume II  Duo Collection with Jerry Garcia,,,,,,,,,,0.0
38,2024-08-17,"Lynx vs Mystics Predictions , Picks & Odds – 8 - 17",,,,,,,,,,0.0
39,2024-08-18,"Sparks vs Aces Predictions , Picks & Odds – 8 - 18",,,,,,,,,,0.0
40,2024-08-19,Uranium Miner Global Atomic Corporation ( TSX : GLO ) ( OTCQX : GLATF ) Gains on News,,,,,,,,,,0.7776888608932495
41,2024-08-20,"Długi cień paktu Ribbentrop - Mołotow . Nikt nie przypuszczał , że to będzie wstęp do wojny",,,,,,,,,,0.0
42,2024-08-21,Zólyomban kerül sor a szlovák nemzeti felkelés valódi csatáinak rekonstrukciójára,,,,,,,,,,0.0
43,2024-08-22,"Zarząd PKP Cargo deklaruje , że będzie kontynuować działania dla ratowania spółki",,,,,,,,,,0.0
44,2024-08-23,CFL Betting : CFL Bets and Props for Week 12,,,,,,,,,,0.0
45,2024-08-24,"Elks vs Alouettes Prediction , Picks , & Odds",,,,,,,,,,0.0
46,2024-08-25,"Astros vs Orioles Predictions , Picks , Odds 8 - 25",,,,,,,,,,0.0
47,2024-08-26,"Mystics vs Storm Predictions , Picks & Odds – 8 - 26",,,,,,,,,,0.0
48,2024-08-27,BetMGM Launches New Features Ahead of NFL Season,,,,,,,,,,0.0
49,2024-08-28,"Yankees vs Nationals Predictions , Picks , Odds 8 - 28",,,,,,,,,,0.0
50,2024-08-29,Szokujące informacje ! Chińskie patenty podbijają united states ,,,,,,,,,,0.0
51,2024-08-30,"Western Kentucky vs Alabama Prediction , Picks & Odds – College Football Week 1",,,,,,,,,,0.0
52,2024-08-31,85 . rocznica wybuchu II wojny światowej . Dzień Weterana Walk o Niepodległość RP,,,,,,,,,,0.0
53,2024-09-01,USC vs LSU Prediction – Best College Football Week 1 Picks,,,,,,,,,,0.49263057112693787
54,2024-09-02,"Yankees vs Rangers Predictions , Picks , Odds 9 - 2",,,,,,,,,,0.0
55,2024-09-03,Buy Telstra and these ASX dividend shares in September,,,,,,,,,,0.0
56,2024-09-04,"Yankees vs Rangers Predictions , Picks , Odds 9 - 4",,,,,,,,,,0.0
57,2024-09-05,"Updated Bet365 Bonus Code DIMERS : Secure $1 , 200 Bonus and special NFL parlay boosts for the Chiefs - Ravens game tonight",,,,,,,,,,0.8460739254951477
58,2024-09-06,These ASX dividend stocks could be top buys for passive income,,,,,,,,,,0.0
59,2024-09-07,"Bet365 Bonus Code CO DIMERS update : Secure $1 , 200+ NCAAF betting bonus and special parlay boosts for Deion Sander Buffs tonight",,,,,,,,,,0.8533869981765747
60,2024-09-08,"FanDuel Promo Code : Bet $5 on Rams - Lions for $200 Bonus , NFL Sunday Ticket",,,,,,,,,,0.0
61,2024-09-09,"BetMGM Bonus Code NEWSWEEK1500 : Claim $1 , 500 Bet Offer for Jets - 49ers",,,,,,,,,,0.0
62,2024-09-10,"Rangers vs Diamondbacks Predictions , Picks , Odds 9 - 10",,,,,,,,,,0.0
63,2024-09-11,"Arizona State vs Texas State Prediction , Picks & Odds – College Football Week 3",,,,,,,,,,0.0
