,Date,News 1,News 2,News 3,News 4,News 5,News 6,News 7,News 8,News 9,News 10,FinBERT score
0,2024-07-10,True อยากเปลี่ยนโปรรายเดือน ทำไมยากจัง ? ,,,,,,,,,,0.0
1,2024-07-11,รีวิวประกันเดินทาง สดร้อน 1 กค 24 ของSompo,,,,,,,,,,0.0
2,2024-07-12,ช่วยด้วยครับ,,,,,,,,,,0.0
3,2024-07-13,Thunder Brawl Price Tops $0 . 0276 on Exchanges ( THB ) ,,,,,,,,,,0.0
4,2024-07-14,เดลินิวส์ 15 ก . ค . เค้นหาแรงจูงใจสังหาร  ทรัมป์ - สอบครอบครัวมือไรเฟิล,,,,,,,,,,0.0
5,2024-07-15,暑假出國刷信用卡血拚 2大國際組織優惠車拚｜卡優新聞網,,,,,,,,,,0.0
6,2024-07-16,เดลินิวส์ 17 ก . ค . วางพิษเวียดนาม - มะกัน6ศพ ฆาตกรรมหมู่สยอง รร . หรูกลางกรุง,,,,,,,,,,0.0
7,2024-07-17,รถยนต์ไฟฟ้าเร็วที่สุดในโลก 2024 เร่งไวเหมือนใช้วาร์ป,,,,,,,,,,0.0
8,2024-07-18,ไม่ต้องกลัวโดนปาดแล้ว !  ผีแดง  ยันคว้า  โยโร  ขันแนวรับเรียบร้อย,,,,,,,,,,0.0
9,2024-07-19,เริ่มแล้วงาน CAF 2024 มหกรรมอสเพลย์และงานศิลปะ Fan art ปีที่ 2,,,,,,,,,,0.0
10,2024-07-20,ที่นี่จากยูเอสเอ วันที่ 21 กรกฎาคม 2567,,,,,,,,,,0.0
11,2024-07-21,Thunder Brawl Price Down 0 . 5 % This Week ( THB ) ,,,,,,,,,,-0.9667100310325623
12,2024-07-22,Overseas Vietnamese in Thailand remember General Secretary visit,,,,,,,,,,0.0
13,2024-07-23,  เฮอเนสส์  รับ  เดอ ลิกต์  ส่อลาเสือใต้ก่อนปิดตลาดหน้าร้อน,,,,,,,,,,0.0
14,2024-07-24,ไซนัสหรือมะเร็งหลังโพรงจมูก ? ,,,,,,,,,,0.0
15,2024-07-25,จุฬาฯ คิดค้น  ชุดตรวจปัสสาวะแมว  เช็กแมวเสี่ยงเป็นโรคไตด้วยตัวเอง,,,,,,,,,,0.0
16,2024-07-26,พิพิธภัณฑ์เรือพระราชพิธี กรุงเทพ ยลเรือพระราชพิธีมรดกชาติ,,,,,,,,,,0.0
17,2024-07-27, ๏ ... เฉลิมชนมพรรษา ... ๏ ,,,,,,,,,,0.0
18,2024-07-28,เช็กสถานที่ร่วมพิธีจุดเทียนชัยถวายพระพรชัยมงคล พร้อมกันค่ำนี้ 19 . 19 น . ,,,,,,,,,,0.0
19,2024-07-29,OBAGI MEDICAL เวชสำอางลักซูรีจากอเมริกา เปิดตัวอย่างเป็นทางการในไทยปลุกพลังผิวอ่อนเยาว์ด้วย Professional - C Serum จากส่วนผสมทางการแพทย์อันบริสุทธิ์,,,,,,,,,,0.0
20,2024-07-30,  ประกันโรคร้ายแรง  มีติดไว้พึ่งพิงได้ ถ้าเกิด  ติดบ้าน - ติดเตียง  ,,,,,,,,,,0.0
21,2024-07-31,ข้อกฎหมายและภาษีที่ควรรู้ ก่อนลงทุนคอนโดฯ ปล่อยเช่า,,,,,,,,,,0.0
22,2024-08-01,รหัสลับลวงพราง ปลาหมอคางดำ,,,,,,,,,,0.0
