日期	现钞卖出价	涨跌% (与前日比)	涨跌% (与首日比)
2025-07-07	0.049378	-0.86%	8.78%
2025-07-06	0.049804	--	9.72%
2025-07-05	0.049804	0.06%	9.72%
2025-07-04	0.049774	0.22%	9.65%
2025-07-03	0.049663	-0.77%	9.41%
2025-07-02	0.05005	-0.13%	10.26%
2025-07-01	0.050117	0.47%	10.41%
2025-06-30	0.049881	0.16%	9.89%
2025-06-29	0.049801	--	9.71%
2025-06-28	0.049801	0.07%	9.71%
2025-06-27	0.049765	-0.19%	9.63%
2025-06-26	0.049862	0.72%	9.85%
2025-06-25	0.049506	-0.38%	9.06%
2025-06-24	0.049696	0.98%	9.48%
2025-06-23	0.049216	-0.32%	8.42%
2025-06-22	0.049373	--	8.77%
2025-06-21	0.049373	-0.06%	8.77%
2025-06-20	0.049401	-0.32%	8.83%
2025-06-19	0.049562	-0.71%	9.18%
2025-06-18	0.049918	0.36%	9.97%
2025-06-17	0.049737	-0.56%	9.57%
2025-06-16	0.050018	-0.13%	10.19%
2025-06-15	0.050084	--	10.33%
2025-06-14	0.050084	0.03%	10.33%
2025-06-13	0.05007	-0.19%	10.30%
2025-06-12	0.050164	0.35%	10.51%
2025-06-11	0.049987	0.39%	10.12%
2025-06-10	0.049795	-0.27%	9.70%
2025-06-09	0.049932	0.09%	10.00%
2025-06-08	0.049886	--	9.90%
2025-06-07	0.049886	0.08%	9.90%
2025-06-06	0.049844	-0.49%	9.81%
2025-06-05	0.050089	-0.67%	10.35%
2025-06-04	0.050429	0.59%	11.09%
2025-06-03	0.050133	-1.02%	10.44%
2025-06-02	0.05065	0.88%	11.58%
2025-06-01	0.05021	--	10.61%
2025-05-31	0.05021	0.19%	10.61%
2025-05-30	0.050115	0.18%	10.40%
2025-05-29	0.050027	0.46%	10.21%
2025-05-28	0.049796	-0.51%	9.70%
2025-05-27	0.050051	-0.93%	10.26%
2025-05-26	0.05052	-0.17%	11.29%
2025-05-25	0.050607	--	11.49%
2025-05-24	0.050607	0.09%	11.49%
2025-05-23	0.050561	0.56%	11.39%
2025-05-22	0.050278	-0.10%	10.76%
2025-05-21	0.050329	0.55%	10.87%
2025-05-20	0.050055	0.20%	10.27%
2025-05-19	0.049957	0.36%	10.05%
2025-05-18	0.049776	--	9.66%
2025-05-17	0.049776	0.38%	9.66%
2025-05-16	0.04959	-0.24%	9.25%
2025-05-15	0.049708	0.67%	9.51%
2025-05-14	0.049375	0.79%	8.77%
2025-05-13	0.048987	0.33%	7.92%
2025-05-12	0.048827	-2.40%	7.57%
2025-05-11	0.05003	--	10.22%
2025-05-10	0.05003	-0.07%	10.22%
2025-05-09	0.050063	0.18%	10.29%
2025-05-08	0.049974	-1.18%	10.09%
2025-05-07	0.050569	-0.37%	11.40%
2025-05-06	0.050755	0.25%	11.81%
2025-05-05	0.050629	0.63%	11.53%
2025-05-04	0.050314	--	10.84%
2025-05-03	0.050314	-0.31%	10.84%
2025-05-02	0.050471	0.59%	11.19%
2025-05-01	0.050176	-1.98%	10.54%
2025-04-30	0.051191	-0.26%	12.77%
2025-04-29	0.051324	0.08%	13.07%
2025-04-28	0.051282	0.70%	12.97%
2025-04-27	0.050924	--	12.18%
2025-04-26	0.050924	0.01%	12.18%
2025-04-25	0.050919	-0.74%	12.17%
2025-04-24	0.0513	0.04%	13.01%
2025-04-23	0.051282	-1.73%	12.97%
2025-04-22	0.052183	0.38%	14.96%
2025-04-21	0.051984	0.78%	14.52%
2025-04-20	0.051581	--	13.63%
2025-04-19	0.051581	0.09%	13.63%
2025-04-18	0.051536	0.09%	13.53%
2025-04-17	0.051491	0.14%	13.43%
2025-04-16	0.051418	0.22%	13.27%
2025-04-15	0.051306	-0.00%	13.03%
2025-04-14	0.051307	0.58%	13.03%
2025-04-13	0.051012	--	12.38%
2025-04-12	0.051012	-0.02%	12.38%
2025-04-11	0.051023	0.18%	12.40%
2025-04-10	0.050931	0.12%	12.20%
2025-04-09	0.050868	1.46%	12.06%
2025-04-08	0.050137	0.89%	10.45%
2025-04-07	0.049693	-0.13%	9.47%
2025-04-06	0.049759	--	9.62%
2025-04-05	0.049759	-0.64%	9.62%
2025-04-04	0.05008	-0.01%	10.33%
2025-04-03	0.050086	2.93%	10.34%
2025-04-02	0.048661	-0.43%	7.20%
2025-04-01	0.048871	0.56%	7.66%
