Date,Exchange_Rate
2024-07-08,1.5496
2024-07-09,1.5509
2024-07-10,1.5539
2024-07-11,1.5545
2024-07-12,1.5588
2024-07-13,1.5588
2024-07-15,1.5602
2024-07-16,1.5605
2024-07-17,1.5633
2024-07-18,1.5616
2024-07-19,1.5569
2024-07-20,1.5569
2024-07-22,1.5601
2024-07-23,1.5632
2024-07-24,1.5605
2024-07-25,1.5568
2024-07-26,1.563
2024-07-27,1.5628
2024-07-29,1.5711
2024-07-30,1.5743
2024-07-31,1.5775
2024-08-01,1.5917
2024-08-02,1.5983
2024-08-03,1.6009
2024-08-05,1.6174
2024-08-06,1.6059
2024-08-07,1.6023
2024-08-08,1.6099
2024-08-09,1.6269
2024-08-10,1.6272
2024-08-12,1.6165
2024-08-13,1.6144
2024-08-14,1.6214
2024-08-15,1.624
2024-08-16,1.6224
2024-08-17,1.6218
2024-08-19,1.636
2024-08-20,1.6358
2024-08-21,1.6353
2024-08-22,1.6384
2024-08-23,1.6351
2024-08-24,1.6339
2024-08-26,1.6446
2024-08-27,1.6452
2024-08-28,1.6471
2024-08-29,1.6529
2024-08-30,1.6475
2024-08-31,1.6477
2024-09-02,1.6408
2024-09-03,1.6369
2024-09-04,1.6405
2024-09-05,1.6416
2024-09-06,1.6436
2024-09-07,1.6455
2024-09-09,1.6336
2024-09-10,1.6461
2024-09-11,1.6506
2024-09-12,1.6487
2024-09-13,1.6555
2024-09-14,1.6563
2024-09-16,1.6563
2024-09-17,1.6729
2024-09-18,1.6751
2024-09-19,1.6853
2024-09-20,1.6832
2024-09-21,1.6824
2024-09-23,1.6842
2024-09-24,1.6994
2024-09-25,1.7089
2024-09-26,1.698
2024-09-27,1.7063
2024-09-28,1.7062
2024-09-30,1.7087
2024-10-01,1.6924
2024-10-02,1.6888
2024-10-03,1.6727
2024-10-04,1.679
2024-10-05,1.6809
2024-10-07,1.6562
2024-10-08,1.6538
2024-10-09,1.66
2024-10-10,1.6562
2024-10-11,1.6546
2024-10-12,1.6546
2024-10-14,1.6565
2024-10-15,1.6584
2024-10-16,1.6641
2024-10-17,1.6589
2024-10-18,1.6563
2024-10-19,1.6564
2024-10-21,1.6608
2024-10-22,1.6523
2024-10-23,1.6448
2024-10-24,1.6438
2024-10-25,1.6471
2024-10-26,1.6473
2024-10-28,1.6404
2024-10-29,1.6376
2024-10-30,1.6332
2024-10-31,1.6318
2024-11-01,1.6343
2024-11-02,1.635
2024-11-04,1.6305
2024-11-05,1.6417
2024-11-06,1.6371
2024-11-07,1.6286
2024-11-08,1.6455
2024-11-09,1.6462
2024-11-11,1.6412
2024-11-12,1.6369
2024-11-13,1.632
2024-11-14,1.6203
2024-11-15,1.6246
2024-11-16,1.6239
2024-11-18,1.6223
2024-11-19,1.6253
2024-11-20,1.6271
2024-11-21,1.6277
2024-11-22,1.6287
2024-11-23,1.6292
2024-11-25,1.6336
2024-11-26,1.6337
2024-11-27,1.6381
2024-11-28,1.6366
2024-11-29,1.6369
2024-11-30,1.6378
2024-12-02,1.6379
2024-12-03,1.6376
2024-12-04,1.639
2024-12-05,1.6467
