日期	现钞卖出价	涨跌% (与前日比)	涨跌% (与首日比)
2025-07-07	1.7013	-0.21%	9.79%
2025-07-05	1.7049	--	10.02%
2025-07-04	1.7049	-0.02%	10.02%
2025-07-03	1.7052	0.21%	10.04%
2025-07-02	1.7016	-0.75%	9.81%
2025-07-01	1.7145	0.37%	10.64%
2025-06-30	1.7081	0.28%	10.23%
2025-06-28	1.7034	0.01%	9.93%
2025-06-27	1.7033	0.06%	9.92%
2025-06-26	1.7023	0.11%	9.85%
2025-06-25	1.7005	0.20%	9.74%
2025-06-24	1.6971	1.08%	9.52%
2025-06-23	1.6789	-1.01%	8.34%
2025-06-21	1.6961	0.02%	9.45%
2025-06-20	1.6958	0.06%	9.43%
2025-06-19	1.6947	-0.24%	9.36%
2025-06-18	1.6987	-0.06%	9.62%
2025-06-17	1.6997	-0.04%	9.69%
2025-06-16	1.7004	0.06%	9.73%
2025-06-14	1.6993	0.01%	9.66%
2025-06-13	1.6991	-0.45%	9.65%
2025-06-12	1.7067	0.11%	10.14%
2025-06-11	1.7048	0.02%	10.02%
2025-06-10	1.7044	-0.01%	9.99%
2025-06-09	1.7045	-0.25%	10.00%
2025-06-07	1.7087	0.02%	10.27%
2025-06-06	1.7084	0.27%	10.25%
2025-06-05	1.7038	0.36%	9.95%
2025-06-04	1.6977	-0.17%	9.56%
2025-06-03	1.7006	0.13%	9.74%
2025-06-02	1.6984	--	9.60%
2025-05-31	1.6984	-0.01%	9.60%
2025-05-30	1.6986	-0.11%	9.62%
2025-05-29	1.7005	-0.58%	9.74%
2025-05-28	1.7105	0.33%	10.38%
2025-05-27	1.7049	-0.34%	10.02%
2025-05-26	1.7108	0.37%	10.40%
2025-05-24	1.7045	--	10.00%
2025-05-23	1.7045	0.67%	10.00%
2025-05-22	1.6931	-0.08%	9.26%
2025-05-21	1.6945	0.47%	9.35%
2025-05-20	1.6865	-0.15%	8.83%
2025-05-19	1.6891	0.13%	9.00%
2025-05-17	1.6869	0.05%	8.86%
2025-05-16	1.6861	-0.26%	8.81%
2025-05-15	1.6905	0.15%	9.09%
2025-05-14	1.688	0.78%	8.93%
2025-05-13	1.6749	-0.54%	8.09%
2025-05-12	1.684	-0.48%	8.67%
2025-05-10	1.6922	0.02%	9.20%
2025-05-09	1.6919	-0.39%	9.18%
2025-05-08	1.6985	-0.81%	9.61%
2025-05-07	1.7123	-0.05%	10.50%
2025-05-06	1.7131	-1.39%	10.55%
2025-05-05	1.7373	1.32%	12.11%
2025-05-03	1.7146	--	10.65%
2025-05-02	1.7146	1.26%	10.65%
2025-05-01	1.6933	0.01%	9.27%
2025-04-30	1.6932	0.34%	9.27%
2025-04-29	1.6875	0.54%	8.90%
2025-04-28	1.6785	0.29%	8.32%
2025-04-26	1.6736	-0.01%	8.00%
2025-04-25	1.6737	-0.05%	8.01%
2025-04-24	1.6745	0.44%	8.06%
2025-04-23	1.6671	-0.34%	7.58%
2025-04-22	1.6728	-0.21%	7.95%
2025-04-21	1.6763	0.88%	8.18%
2025-04-19	1.6616	-0.01%	7.23%
2025-04-18	1.6617	-0.12%	7.23%
2025-04-17	1.6637	0.02%	7.36%
2025-04-16	1.6634	-0.13%	7.34%
2025-04-15	1.6655	0.16%	7.48%
2025-04-14	1.6628	0.38%	7.31%
2025-04-12	1.6565	--	6.90%
2025-04-11	1.6565	0.72%	6.90%
2025-04-10	1.6447	0.15%	6.14%
2025-04-09	1.6423	0.04%	5.98%
2025-04-08	1.6416	0.02%	5.94%
2025-04-07	1.6413	-0.57%	5.92%
2025-04-05	1.6507	--	6.52%
2025-04-04	1.6507	0.20%	6.52%
2025-04-03	1.6474	0.51%	6.31%
2025-04-02	1.6391	-0.41%	5.78%
2025-04-01	1.6458	0.18%	6.21%
2025-03-31	1.6429	-0.14%	6.02%
2025-03-29	1.6452	0.06%	6.17%
