Date,Exchange_Rate
2024-07-08,5.4072
2024-07-09,5.4043
2024-07-10,5.4146
2024-07-11,5.4295
2024-07-12,5.4282
2024-07-13,5.4284
2024-07-15,5.4302
2024-07-16,5.4246
2024-07-17,5.4345
2024-07-18,5.4291
2024-07-19,5.4266
2024-07-20,5.4238
2024-07-22,5.4242
2024-07-23,5.4277
2024-07-24,5.4351
2024-07-25,5.406
2024-07-26,5.4231
2024-07-27,5.422
2024-07-29,5.4251
2024-07-30,5.4156
2024-07-31,5.4205
2024-08-01,5.4421
2024-08-02,5.4196
2024-08-03,5.4276
2024-08-05,5.4102
2024-08-06,5.4187
2024-08-07,5.4266
2024-08-08,5.4336
2024-08-09,5.4371
2024-08-10,5.4383
2024-08-12,5.4384
2024-08-13,5.441
2024-08-14,5.449
2024-08-15,5.4545
2024-08-16,5.4557
2024-08-17,5.4623
2024-08-19,5.4764
2024-08-20,5.481
2024-08-21,5.4864
2024-08-22,5.4734
2024-08-23,5.4893
2024-08-24,5.4961
2024-08-26,5.4844
2024-08-27,5.4878
2024-08-28,5.4899
2024-08-29,5.4706
2024-08-30,5.4558
2024-08-31,5.4547
2024-09-02,5.467
2024-09-03,5.4621
2024-09-04,5.4739
2024-09-05,5.4735
2024-09-06,5.4681
2024-09-07,5.471
2024-09-09,5.4707
2024-09-10,5.4778
2024-09-11,5.4825
2024-09-12,5.4787
2024-09-13,5.4839
2024-09-14,5.4858
2024-09-16,5.496
2024-09-17,5.4955
2024-09-18,5.4909
2024-09-19,5.4886
2024-09-20,5.4802
2024-09-21,5.4812
2024-09-23,5.4861
2024-09-24,5.4908
2024-09-25,5.4796
2024-09-26,5.4864
2024-09-27,5.4949
2024-09-28,5.4971
2024-09-30,5.4902
2024-10-01,5.471
2024-10-02,5.4593
2024-10-03,5.4413
2024-10-04,5.4285
2024-10-05,5.4379
2024-10-07,5.4404
2024-10-08,5.4371
2024-10-09,5.442
2024-10-10,5.4368
2024-10-11,5.4376
2024-10-12,5.4375
2024-10-14,5.4382
2024-10-15,5.4584
2024-10-16,5.4462
2024-10-17,5.4398
2024-10-18,5.4376
2024-10-19,5.4406
2024-10-21,5.4312
2024-10-22,5.4327
2024-10-23,5.4099
2024-10-24,5.4139
2024-10-25,5.4115
2024-10-26,5.4079
2024-10-28,5.4078
2024-10-29,5.4035
2024-10-30,5.4085
2024-10-31,5.4014
2024-11-01,5.4035
2024-11-02,5.3985
2024-11-04,5.4135
2024-11-05,5.4212
2024-11-06,5.4055
2024-11-07,5.4344
2024-11-08,5.441
2024-11-09,5.4324
2024-11-11,5.4231
2024-11-12,5.427
2024-11-13,5.4151
2024-11-14,5.4087
2024-11-15,5.4064
2024-11-16,5.407
2024-11-18,5.4168
2024-11-19,5.4319
2024-11-20,5.4112
2024-11-21,5.406
2024-11-22,5.3941
2024-11-23,5.3986
2024-11-25,5.3996
2024-11-26,5.4029
2024-11-27,5.4282
2024-11-28,5.4204
2024-11-29,5.428
2024-11-30,5.4396
2024-12-02,5.4192
2024-12-03,5.4404
2024-12-04,5.4306
2024-12-05,5.444
2024-12-06,5.4467
2024-12-07,5.4431
2024-12-09,5.4545
2024-12-10,5.4233
2024-12-11,5.4288
2024-12-12,5.4256
2024-12-13,5.4168
2024-12-14,5.4134
2024-12-16,5.4205
2024-12-17,5.4203
2024-12-18,5.411
2024-12-19,5.3874
2024-12-20,5.4033
2024-12-21,5.4132
2024-12-23,5.401
2024-12-24,5.3861
2024-12-25,5.3886
2024-12-26,5.3914
2024-12-27,5.3986
2024-12-28,5.3966
2024-12-30,5.3933
2024-12-31,5.375
2025-01-01,5.3787
2025-01-02,5.3618
2025-01-03,5.3628
2025-01-04,5.373
2025-01-06,5.3917
2025-01-07,5.395
2025-01-08,5.3779
2025-01-09,5.3804
2025-01-10,5.3685
2025-01-11,5.3771
2025-01-13,5.3622
2025-01-14,5.3847
2025-01-15,5.3891
2025-01-16,5.3921
2025-01-17,5.3871
2025-01-18,5.3842
2025-01-20,5.3843
2025-01-21,5.393
2025-01-22,5.391
2025-01-23,5.3961
2025-01-24,5.4093
2025-01-25,5.415
2025-01-27,5.4149
2025-01-28,5.4002
2025-01-29,5.4107
2025-01-30,5.4123
2025-01-31,5.3968
2025-02-01,5.3912
2025-02-03,5.4028
2025-02-04,5.435
2025-02-05,5.422
2025-02-06,5.417
2025-02-07,5.4092
2025-02-08,5.4161
2025-02-10,5.4174
2025-02-11,5.4201
2025-02-12,5.4207
2025-02-13,5.4379
2025-02-14,5.4449
2025-02-15,5.449
2025-02-17,5.4412
2025-02-18,5.4495
2025-02-19,5.4474
2025-02-20,5.4522
2025-02-21,5.4504
2025-02-22,5.4574
2025-02-24,5.4408
2025-02-25,5.4454
2025-02-26,5.4511
2025-02-27,5.4325
2025-02-28,5.4241
2025-03-01,5.4161
2025-03-03,5.4426
2025-03-04,5.4352
2025-03-05,5.4566
2025-03-06,5.4616
2025-03-07,5.4661
2025-03-08,5.4748
2025-03-10,5.4745
2025-03-11,5.459
2025-03-12,5.4599
2025-03-13,5.4468
2025-03-14,5.4487
2025-03-15,5.4577
2025-03-17,5.4587
2025-03-18,5.4515
2025-03-19,5.4446
2025-03-20,5.4514
2025-03-21,5.4514
2025-03-22,5.4564
2025-03-24,5.4426
2025-03-25,5.4559
2025-03-26,5.4513
2025-03-27,5.4516
2025-03-28,5.4414
2025-03-29,5.4416
2025-03-31,5.4223
2025-04-01,5.4368
2025-04-02,5.4406
2025-04-03,5.484
2025-04-04,5.4582
2025-04-05,5.4377
2025-04-07,5.4381
2025-04-08,5.4492
2025-04-09,5.4782
2025-04-10,5.52
2025-04-11,5.5514
2025-04-12,5.5547
2025-04-14,5.5767
2025-04-15,5.573
2025-04-16,5.5956
2025-04-17,5.5913
2025-04-18,5.5932
2025-04-19,5.5945
2025-04-21,5.6156
2025-04-22,5.6138
2025-04-23,5.5698
2025-04-24,5.5787
2025-04-25,5.5696
2025-04-26,5.5684
2025-04-28,5.5809
2025-04-29,5.5839
2025-04-30,5.5958
2025-05-01,5.568
2025-05-02,5.627
2025-05-03,5.6291
2025-05-05,5.6568
2025-05-06,5.6268
2025-05-07,5.6199
2025-05-08,5.5972
2025-05-09,5.6049
2025-05-10,5.6023
2025-05-12,5.5395
2025-05-13,5.5575
2025-05-14,5.5718
2025-05-15,5.5816
2025-05-16,5.5702
2025-05-17,5.5762
2025-05-19,5.597
2025-05-20,5.596
2025-05-21,5.6174
2025-05-22,5.6042
2025-05-23,5.6134
2025-05-24,5.6152
2025-05-26,5.6218
2025-05-27,5.6058
2025-05-28,5.6023
2025-05-29,5.6101
2025-05-30,5.6043
2025-05-31,5.6054
2025-06-02,5.6228
2025-06-03,5.5979
2025-06-04,5.6058
2025-06-05,5.6021
2025-06-06,5.6005
2025-06-07,5.6036
2025-06-09,5.611
2025-06-10,5.6084
2025-06-11,5.6261
2025-06-12,5.6324
2025-06-13,5.6311
2025-06-14,5.6268
2025-06-16,5.6376
2025-06-17,5.6238
2025-06-18,5.6245
2025-06-19,5.6013
2025-06-20,5.6035
